income,loan_amount,credit_score,months_employed,num_credit_lines,interest_rate,loan_term,dti_ratio,default
38431,39757,321,127,13,11.83,60,0.08,0
22747,16106,758,190,3,13.98,24,0.42,0
143855,24574,838,66,14,23.26,12,0.62,0
79150,24524,681,3,2,8.79,24,0.25,0
85725,4636,739,302,4,5.1,12,0.66,0
149981,11916,320,293,0,6.2,36,0.24,0
104654,5809,602,142,2,23.1,48,0.67,0
55773,33201,383,190,14,17.95,24,0.11,0
139346,14456,752,20,7,10.46,60,0.7,0
87435,49212,686,226,3,8.54,36,0.42,0
76886,39765,806,312,1,10.89,12,0.27,0
86803,35816,556,116,9,7.3,24,0.25,0
51551,46106,826,301,3,23.83,12,0.37,0
136216,18100,461,141,2,20.68,12,0.8,0
31394,22949,462,38,1,14.25,12,0.22,1
89092,5544,823,354,16,22.3,48,0.13,0
23890,38744,570,251,19,9.99,48,0.49,1
61606,46543,791,332,12,19.34,60,0.42,0
116276,43783,507,206,4,22.12,24,0.44,0
145768,27657,838,209,8,12.14,36,0.55,0
100038,37187,359,114,5,20.15,36,0.25,0
107313,48198,729,224,4,10.9,36,0.73,0
30627,8239,608,133,9,10.98,12,0.38,0
28792,15489,819,250,7,7.14,48,0.15,0
128859,44125,326,218,6,13.8,24,0.61,0
128557,29538,498,90,6,19.59,12,0.53,0
93969,33049,686,353,5,23.8,48,0.29,0
63001,38131,648,45,19,17.08,48,0.52,1
96552,43944,835,37,2,22.26,24,0.21,0
43897,9427,677,141,18,21.45,24,0.38,0
88148,42348,826,99,14,8.47,24,0.72,0
141729,25285,452,327,3,14.72,12,0.15,0
144243,38626,505,189,11,7.34,60,0.34,0
140923,43808,754,34,5,18.64,24,0.67,1
140174,23928,572,146,18,24.0,60,0.78,0
43483,20198,535,29,3,7.74,12,0.39,1
144358,20758,820,333,14,19.68,60,0.43,0
68555,16254,800,83,8,17.64,36,0.48,0
145436,45238,416,280,4,16.67,60,0.75,0
37159,2252,685,343,12,12.8,24,0.69,0
130510,40764,643,269,17,12.1,12,0.18,0
126530,13173,694,153,4,5.9,24,0.38,0
100077,38441,363,101,15,9.36,36,0.4,1
55920,27698,371,214,18,5.3,24,0.64,0
112067,16781,573,149,13,16.63,24,0.5,0
87121,14051,619,82,15,7.12,24,0.54,0
89479,40649,637,109,14,22.46,48,0.8,1
109475,7949,665,274,3,15.46,36,0.11,0
39457,43289,794,200,6,18.99,24,0.22,0
86557,9017,465,283,15,13.22,24,0.36,0
97189,7941,843,172,7,16.21,24,0.31,0
129109,26934,310,326,16,23.85,12,0.07,0
98953,24386,600,205,15,6.65,48,0.12,0
72995,11209,401,62,9,10.08,12,0.56,0
60757,18715,724,72,9,20.6,48,0.71,0
29692,29920,691,250,1,6.97,24,0.44,0
65758,32703,513,123,8,6.51,36,0.45,0
149425,43318,387,120,16,12.23,60,0.24,0
92409,5637,700,274,10,6.84,60,0.63,0
91211,5854,345,119,9,16.7,24,0.61,0
85697,44088,762,316,16,9.53,12,0.49,0
57065,38660,609,163,3,22.91,36,0.21,1
112093,40811,385,285,15,20.67,48,0.12,0
119299,20856,391,264,19,18.99,24,0.1,0
149293,22833,541,319,14,17.34,36,0.49,0
52606,20963,301,160,4,22.27,36,0.67,1
147791,37932,524,307,5,9.46,48,0.69,0
31534,28169,415,88,16,22.46,36,0.4,1
114663,8941,402,141,0,20.79,12,0.64,0
60397,15388,493,202,18,19.96,12,0.76,1
146678,6569,465,308,3,16.23,12,0.26,0
111387,5300,389,226,16,9.92,36,0.35,0
21016,40037,421,333,8,13.47,12,0.75,0
109789,37586,442,221,1,20.87,48,0.3,0
75591,13015,405,40,7,5.64,36,0.74,0
109812,46002,727,195,14,20.64,60,0.79,0
43247,7254,604,67,6,9.8,36,0.55,0
44300,18144,616,263,5,7.89,48,0.66,0
94065,25214,308,1,0,7.31,60,0.61,0
102798,41118,372,124,14,5.55,36,0.57,0
29268,16183,658,109,6,15.47,12,0.28,0
106807,7238,522,85,16,9.37,24,0.09,0
32185,7090,715,119,1,24.79,24,0.31,0
83704,12637,669,126,8,16.49,12,0.55,0
106779,23415,563,254,8,7.76,24,0.13,0
59099,25071,617,182,12,18.78,24,0.06,0
28571,46415,383,15,5,22.95,12,0.15,1
143372,43679,617,61,5,19.9,12,0.59,0
125512,42240,410,157,19,6.53,36,0.78,0
58044,19271,550,267,19,22.92,36,0.79,0
71214,37034,682,34,2,20.88,12,0.42,0
81228,34434,306,266,16,8.17,48,0.7,0
134752,5188,758,63,16,6.04,24,0.6,0
68984,11161,383,49,11,16.15,36,0.43,0
60774,29732,507,254,15,8.12,24,0.48,0
22568,12314,689,148,14,21.69,60,0.15,0
140151,24954,613,324,12,12.17,12,0.75,0
82592,22508,321,303,0,23.26,48,0.31,0
87563,22969,709,275,16,16.31,60,0.38,0
22695,46659,814,356,2,8.65,60,0.55,0
144375,38545,426,171,14,7.79,60,0.3,0
68190,37668,313,200,3,16.53,12,0.24,0
25258,24061,311,323,3,20.24,36,0.52,1
107538,14716,386,34,17,20.63,12,0.07,0
59504,40749,823,215,16,10.52,36,0.59,0
53159,40144,836,64,18,9.08,60,0.44,0
33986,17907,600,7,10,5.34,60,0.5,0
81858,19777,542,300,19,18.58,48,0.52,0
149312,28693,421,342,2,6.53,36,0.45,0
32666,43928,446,331,7,13.42,60,0.49,1
58660,27329,655,75,13,17.03,24,0.56,0
23561,47892,608,173,0,23.74,48,0.61,1
46854,17282,587,46,13,11.24,12,0.6,0
84505,24624,606,14,1,10.0,48,0.7,0
124488,24321,848,146,3,18.08,24,0.19,0
72251,11488,651,25,18,17.38,36,0.35,0
42662,23574,611,307,5,11.64,12,0.76,0
28392,6240,358,92,0,23.56,12,0.35,0
50535,44221,334,231,16,21.9,36,0.14,0
98603,11478,744,20,7,9.48,48,0.44,0
133569,46162,392,306,18,9.78,60,0.13,0
72256,20262,506,37,0,15.25,48,0.2,1
109135,5432,652,275,4,20.47,24,0.8,0
147478,30721,631,156,15,5.88,60,0.46,0
55222,14568,458,178,5,18.87,48,0.26,1
97373,15178,323,131,7,17.96,36,0.8,1
99575,23195,703,310,12,9.63,24,0.77,0
143684,1302,815,347,15,18.63,24,0.38,0
116354,18022,663,27,2,23.8,24,0.25,0
104651,1055,681,259,18,5.94,60,0.68,0
83335,46781,831,75,11,11.39,12,0.59,0
30965,9717,451,66,15,13.76,60,0.57,0
44538,29699,719,341,10,22.99,48,0.72,0
128066,9150,549,193,9,24.25,12,0.57,0
90592,3125,416,161,19,13.88,48,0.26,0
118018,45247,811,346,3,20.0,12,0.57,0
133252,49513,634,256,11,15.63,60,0.28,0
28110,17748,717,71,1,15.76,24,0.62,1
99309,40577,594,86,18,10.56,36,0.51,0
47266,5621,670,261,4,9.34,24,0.11,0
72992,16034,485,213,7,10.76,60,0.43,0
102948,47391,545,152,6,16.13,12,0.31,0
142073,6126,567,209,13,5.58,24,0.3,0
118806,6122,536,60,2,23.14,60,0.5,0
26910,19030,829,267,17,8.13,48,0.29,0
130989,18302,320,261,15,9.4,36,0.63,0
110982,20181,819,217,18,15.37,24,0.1,0
141626,39638,399,282,18,19.2,12,0.55,0
139176,2531,777,135,17,6.91,48,0.66,0
20206,41940,597,92,19,11.35,60,0.55,1
107054,41441,825,108,15,24.37,36,0.42,0
107897,24333,633,240,7,10.25,12,0.76,0
142409,40650,301,354,0,11.26,60,0.27,0
43419,35674,674,141,16,21.73,60,0.06,0
70636,36854,592,290,11,6.0,24,0.37,0
142546,47271,617,236,10,14.29,24,0.07,0
134238,9152,801,339,4,12.59,12,0.77,0
70015,39518,680,311,11,11.33,60,0.21,0
137478,46540,313,176,16,10.71,24,0.64,0
142096,11267,803,140,5,6.83,36,0.63,0
127059,26289,530,188,0,11.3,36,0.21,0
74268,2062,383,48,4,5.86,60,0.52,0
130687,30926,429,301,13,20.62,24,0.09,0
107939,7229,444,189,4,12.96,12,0.41,0
38141,48915,327,135,0,13.88,12,0.06,0
100356,5632,365,42,17,22.87,12,0.74,0
125878,40056,462,352,15,18.16,36,0.78,0
91910,4596,528,89,8,5.16,24,0.22,0
76044,45243,560,294,18,23.86,24,0.21,0
87214,7168,748,340,4,9.74,36,0.62,0
137930,43563,723,244,1,7.15,12,0.24,0
139324,8561,759,191,14,20.36,12,0.72,0
53827,9258,600,317,6,15.01,60,0.48,0
75820,17616,602,105,3,13.68,48,0.31,0
82623,27734,586,309,0,9.99,24,0.67,0
101734,7371,694,232,12,15.95,24,0.42,0
95450,27069,309,264,19,10.49,24,0.73,0
113426,15369,569,343,6,23.03,48,0.75,0
137845,13910,660,36,14,9.3,60,0.17,0
42299,8943,556,304,13,22.69,48,0.05,0
63585,13199,432,40,18,16.19,12,0.79,0
129225,16728,575,16,19,21.57,12,0.73,0
84044,24275,812,343,17,19.26,24,0.09,0
62557,7738,612,276,9,18.93,36,0.67,0
69080,16913,583,306,8,11.49,24,0.39,0
129556,36240,420,58,7,9.68,36,0.24,0
22693,20123,406,182,9,9.22,48,0.71,0
115003,49447,503,40,16,22.14,12,0.2,0
115259,35529,464,38,1,21.41,36,0.76,1
132235,11167,604,191,5,13.81,48,0.2,0
89163,11554,796,266,4,7.65,12,0.51,0
45939,18260,455,146,8,12.65,36,0.22,0
68925,48045,666,332,4,17.39,24,0.46,0
62941,4812,550,126,17,14.09,24,0.56,0
41834,29024,633,45,19,20.6,24,0.19,1
38047,28285,810,44,8,24.95,48,0.44,1
46105,27900,592,0,16,8.82,24,0.4,0
95766,2605,319,167,16,14.19,60,0.1,0
35707,6622,581,107,11,13.62,12,0.66,0
41976,7767,300,18,6,11.09,48,0.3,0
64262,28139,418,331,2,8.96,24,0.48,0
145117,12613,334,71,9,6.31,12,0.44,0
43776,11589,497,108,1,22.74,36,0.43,0
50080,14918,784,267,2,13.4,24,0.13,0
148376,21119,358,239,15,14.94,12,0.37,0
86842,28446,460,300,1,23.34,60,0.39,0
81373,14046,505,89,9,20.53,36,0.6,1
26776,25818,311,102,5,7.61,60,0.68,1
112787,36358,789,249,10,16.31,12,0.46,0
147948,5324,575,7,6,13.85,60,0.12,0
75016,11787,541,152,14,20.94,12,0.23,0
29474,10111,515,346,5,19.48,12,0.17,0
125830,39110,550,173,19,18.81,60,0.14,0
78053,17389,425,342,8,11.81,12,0.32,0
41959,42427,516,157,19,21.1,24,0.22,0
25530,15043,605,214,11,6.05,12,0.21,0
114856,29746,484,176,18,8.19,48,0.09,0
139101,23350,338,174,19,11.71,12,0.06,0
23748,42605,522,339,2,6.54,48,0.13,0
117504,1117,483,337,14,9.7,12,0.18,0
118098,47685,794,145,1,21.6,12,0.37,0
33545,19935,726,323,1,23.97,60,0.43,0
147659,48077,477,160,2,11.09,24,0.16,0
86199,14234,727,126,5,10.29,24,0.37,0
54766,39328,593,81,14,10.6,36,0.31,0
93530,1846,450,146,9,10.55,60,0.19,0
113557,11954,683,238,8,5.72,60,0.06,0
81087,14703,607,83,0,23.54,24,0.4,0
115839,49153,635,112,15,9.27,60,0.56,0
136183,47514,674,224,5,13.4,24,0.22,0
88840,23700,307,331,8,5.19,60,0.15,0
138451,33043,640,242,3,22.16,12,0.72,0
74384,7469,428,142,1,19.62,24,0.26,0
71005,31105,651,40,3,23.94,24,0.22,0
66576,43101,657,257,0,20.63,48,0.69,0
59353,27386,816,284,18,11.27,60,0.66,0
82003,46587,794,104,9,9.96,60,0.39,0
103211,37976,385,201,14,18.95,24,0.42,0
72733,40051,474,306,18,12.28,12,0.21,0
85318,3048,492,330,15,16.32,12,0.11,0
129953,40001,610,265,3,5.13,12,0.48,0
109474,13941,418,209,1,6.24,60,0.12,0
43664,46375,517,50,12,15.71,48,0.39,0
87172,43533,726,117,0,16.32,24,0.76,0
105616,2828,713,200,16,20.03,36,0.76,0
145879,2917,413,38,12,7.64,48,0.23,0
113264,21618,444,27,3,15.26,36,0.52,0
135386,33254,837,258,6,8.89,48,0.41,0
46736,40756,602,83,16,6.86,12,0.71,0
114209,48362,644,154,8,13.21,60,0.25,0
123041,21128,300,116,3,8.27,36,0.05,0
132859,46745,446,1,18,9.44,48,0.17,0
132181,1009,586,92,0,11.35,60,0.31,0
20854,17644,352,165,9,10.19,36,0.29,0
110084,23422,603,349,3,6.75,24,0.64,0
58623,10865,368,295,8,6.8,48,0.56,0
27392,3219,660,257,12,8.86,24,0.27,0
75680,40809,519,80,13,6.01,12,0.39,0
146354,6287,460,267,9,17.53,24,0.12,0
66717,35387,388,234,5,10.75,24,0.72,0
139937,9512,458,320,15,10.59,48,0.75,0
107092,2342,788,310,5,11.64,12,0.78,0
70859,44336,623,300,16,18.26,24,0.7,1
145657,20216,680,356,9,22.41,60,0.18,0
124095,28534,401,212,17,20.18,36,0.08,0
46309,15231,793,61,17,19.55,24,0.48,0
107455,33293,318,48,2,14.69,12,0.73,1
83734,27614,753,126,19,18.88,24,0.18,0
90467,37258,781,222,14,16.06,36,0.06,0
72662,29253,696,278,14,9.33,12,0.65,0
118506,43078,578,293,3,9.17,48,0.11,0
129751,41752,664,283,8,10.93,12,0.36,0
138906,18988,630,276,18,23.22,48,0.56,0
32688,32037,643,106,16,15.95,12,0.23,0
45342,13219,754,145,10,19.68,36,0.11,0
57157,1235,364,98,8,11.93,36,0.63,0
87863,43929,375,72,9,13.15,12,0.52,0
126308,2908,442,121,17,7.51,24,0.79,0
72083,9567,772,29,19,8.43,36,0.31,0
126081,37298,716,187,12,21.55,48,0.1,0
85733,6256,604,353,7,16.7,48,0.6,0
109045,20019,796,287,6,11.75,60,0.44,0
54698,9162,590,194,16,21.06,48,0.21,0
130078,6415,401,155,14,9.93,60,0.64,0
100623,37159,566,171,19,24.52,12,0.2,0
42671,44925,302,334,14,11.9,12,0.25,0
45184,6951,384,40,0,11.75,12,0.12,0
113384,22852,627,62,13,11.24,24,0.35,0
62107,9007,749,22,4,7.44,24,0.36,0
106202,42832,753,359,10,7.22,60,0.44,0
129893,31523,520,74,15,17.96,48,0.58,0
71663,24325,453,47,1,22.5,48,0.73,1
35708,22204,311,159,7,20.81,12,0.15,0
111906,16524,432,312,10,7.82,36,0.09,0
69811,20282,603,117,17,15.91,24,0.06,0
22811,24930,592,99,2,7.11,24,0.16,0
76250,1077,599,166,0,5.91,12,0.54,0
132547,41345,342,289,10,18.13,24,0.6,0
92082,21611,642,155,15,15.7,12,0.64,0
144249,17984,625,6,17,6.64,60,0.23,0
54754,15060,797,195,15,5.7,48,0.28,0
115742,18449,663,55,9,24.8,36,0.41,0
126642,19520,726,320,17,5.6,48,0.1,0
31411,44303,320,192,5,13.89,48,0.51,1
22911,10510,706,46,18,15.09,60,0.79,1
87270,30287,635,147,3,7.35,24,0.32,0
103763,29173,416,274,12,8.38,36,0.61,0
28680,40711,423,156,13,12.04,24,0.43,0
104896,12954,698,201,2,20.23,48,0.15,0
103879,8804,350,125,9,15.14,12,0.49,0
91295,7565,623,304,5,17.76,48,0.27,0
108614,6984,440,293,0,24.7,24,0.08,0
120689,22526,769,63,13,20.36,48,0.53,0
31111,38438,633,324,7,13.69,12,0.69,1
57504,19574,672,175,18,13.93,60,0.31,0
21802,10184,793,115,13,17.38,24,0.34,0
28155,20096,838,203,9,18.31,48,0.72,0
93656,3192,455,320,16,15.01,24,0.66,0
59384,35016,590,30,8,17.9,60,0.59,1
132561,12246,443,112,5,5.47,48,0.24,0
67254,46558,405,324,10,13.59,48,0.73,0
41918,19381,719,343,6,10.58,24,0.17,0
105981,37455,301,66,16,7.58,24,0.52,0
80713,27727,389,74,0,6.99,12,0.07,0
50306,5018,644,44,4,17.06,60,0.53,0
36646,12302,649,259,8,15.47,12,0.26,0
66843,2970,758,153,17,10.07,48,0.39,0
140975,42157,562,154,1,14.42,24,0.31,0
116601,28202,650,233,10,14.84,48,0.18,0
110735,32110,407,50,5,8.9,48,0.52,0
127512,18586,338,305,7,18.04,36,0.71,0
36371,25519,458,261,3,20.62,36,0.77,0
97371,32273,611,314,17,20.83,48,0.19,0
131472,22951,540,124,10,17.05,24,0.59,0
22049,16374,744,244,4,15.23,48,0.55,0
51616,6788,597,29,14,6.22,36,0.31,0
123727,6408,335,121,17,10.76,24,0.06,0
132893,26053,383,124,1,6.87,48,0.57,0
146603,10446,751,36,10,24.28,60,0.76,0
40932,1922,684,169,12,7.7,60,0.52,0
137796,34187,471,123,3,8.04,48,0.38,0
49855,11789,675,356,6,22.79,24,0.44,0
81434,33184,661,34,10,23.88,48,0.2,0
92694,2120,440,86,3,20.32,48,0.61,0
63016,45028,417,133,14,5.11,36,0.61,0
27400,33154,576,195,0,5.03,60,0.16,0
137858,18334,519,273,2,12.56,36,0.71,0
62642,3336,325,200,13,7.87,36,0.25,0
35151,39141,820,284,5,5.37,48,0.79,0
71407,3243,309,76,17,14.28,36,0.34,0
86690,20029,677,58,0,23.86,60,0.18,0
24499,33265,451,125,5,11.48,36,0.31,1
26295,38380,348,108,5,18.22,60,0.38,1
140885,47714,453,223,15,18.04,36,0.1,0
146071,44872,592,277,4,10.02,60,0.48,0
79040,47197,349,67,16,18.01,36,0.5,1
32183,24710,830,68,9,9.25,36,0.6,0
49299,30486,359,164,17,7.44,24,0.07,0
32874,7371,466,304,6,19.03,60,0.46,0
136336,7359,501,161,2,7.27,60,0.09,0
52711,41631,445,341,12,24.94,60,0.58,0
25539,36996,738,308,14,8.67,12,0.09,0
127941,21103,541,342,19,16.88,36,0.73,0
73351,15382,782,41,18,13.23,60,0.58,0
81267,19755,407,353,2,7.53,12,0.43,0
143133,36659,525,108,3,5.56,24,0.38,0
68354,4756,731,50,4,17.45,60,0.15,0
146063,21609,718,249,0,21.14,60,0.27,0
22557,49538,754,340,3,21.84,12,0.7,1
58360,17478,459,20,11,14.65,36,0.73,1
102018,36442,822,299,9,20.55,24,0.05,0
22200,40666,376,138,19,18.46,60,0.5,0
132476,11147,808,358,12,19.49,36,0.59,0
88497,34561,740,323,13,14.85,24,0.51,0
66975,35884,553,91,4,17.67,48,0.11,0
41357,6779,619,279,3,21.11,48,0.21,0
139121,13298,562,124,13,12.96,24,0.24,0
97505,15153,673,110,9,21.12,12,0.67,0
22869,44879,466,353,16,16.84,24,0.4,0
146114,11789,758,138,9,8.32,24,0.42,0
81135,45165,579,272,6,5.49,12,0.75,0
70108,13999,601,98,15,12.26,12,0.53,0
132296,1814,830,251,0,15.93,36,0.72,0
114179,11541,517,337,16,21.8,36,0.39,0
110272,25938,401,103,8,7.55,12,0.16,0
58467,3443,587,213,5,21.0,48,0.75,0
43328,11457,466,248,18,22.26,48,0.39,0
139181,11380,335,151,12,8.01,24,0.19,0
111412,8783,652,249,2,22.03,60,0.28,0
106831,45241,372,274,6,24.83,24,0.09,0
23987,18368,652,164,8,19.54,24,0.4,0
78871,16328,369,340,4,20.7,60,0.69,0
42399,27215,724,7,9,24.89,12,0.75,1
148391,34595,816,283,16,17.11,48,0.75,0
66214,28306,727,4,11,11.16,24,0.14,0
119522,20915,838,144,15,21.75,60,0.34,0
106416,40915,459,100,2,17.29,36,0.07,0
90271,38219,448,163,8,16.62,24,0.69,0
64064,16343,529,146,14,10.07,48,0.32,0
145615,47403,366,63,4,20.13,12,0.52,1
90091,39727,680,90,12,6.63,24,0.59,0
127450,1126,357,116,13,23.49,24,0.37,0
60818,28632,558,353,19,11.52,60,0.28,0
65525,42563,641,266,14,7.56,36,0.77,0
39830,45409,429,309,15,13.85,36,0.77,1
37429,21530,471,172,12,5.85,12,0.27,0
26893,40964,508,46,16,18.69,48,0.41,1
136381,45327,653,139,7,23.05,12,0.78,0
99909,4368,770,245,1,21.75,24,0.05,0
67333,4797,415,148,4,7.55,24,0.36,0
23436,48882,563,245,5,7.53,36,0.13,1
94290,14718,741,4,11,21.27,48,0.43,0
96213,35560,847,183,17,23.49,60,0.07,0
25895,12053,752,19,0,14.21,48,0.36,0
39738,23116,776,45,16,14.98,24,0.22,0
50746,37244,586,11,10,11.37,60,0.45,0
69377,37185,602,69,9,22.89,48,0.8,0
68404,2645,610,16,18,17.9,48,0.65,0
74045,48523,507,146,13,10.77,60,0.68,0
117888,20256,745,153,9,10.98,24,0.53,0
149307,36840,354,303,14,22.82,48,0.08,0
59790,35622,311,107,18,5.27,60,0.21,0
127455,38430,699,235,3,11.45,24,0.74,0
25600,40282,814,307,1,16.09,60,0.32,1
114660,3708,841,351,8,7.96,60,0.13,0
113179,12694,536,69,9,6.84,48,0.58,0
60764,10524,578,182,10,21.31,24,0.27,0
94543,32880,647,249,13,22.89,48,0.25,0
65714,40224,403,227,6,21.47,12,0.8,0
76835,37980,816,101,14,22.98,12,0.69,1
122946,33409,547,74,18,16.06,24,0.36,0
148191,14224,663,215,14,21.25,60,0.79,0
129616,41738,620,202,7,12.68,48,0.54,0
125983,26150,585,191,10,18.33,48,0.61,0
93744,35393,448,248,8,24.78,24,0.07,0
76491,44082,383,241,14,9.51,24,0.14,0
144123,8973,705,178,0,12.8,12,0.52,0
38589,9577,755,218,0,14.6,36,0.72,0
63484,9070,460,81,18,7.76,24,0.52,0
102989,9666,759,91,2,6.62,36,0.15,0
56212,37368,849,174,9,21.59,24,0.14,0
63525,7783,799,238,7,24.54,60,0.68,0
67202,46994,808,259,14,13.09,60,0.15,0
52635,42914,780,162,9,6.75,12,0.44,1
83208,5971,413,47,0,6.32,12,0.08,0
53828,14490,660,328,17,22.83,36,0.11,0
38711,46719,640,327,1,14.28,24,0.55,0
23420,46080,748,115,18,11.4,48,0.57,1
116752,2990,479,336,12,14.53,12,0.31,0
20301,6299,706,336,0,11.37,48,0.21,0
65236,46765,495,224,1,14.78,48,0.66,0
135294,20956,765,351,15,22.19,24,0.21,0
137858,23359,610,327,14,16.85,36,0.46,0
86235,47240,561,146,12,18.89,24,0.78,1
74240,38148,718,62,15,12.29,12,0.16,0
144019,29734,705,293,16,19.77,48,0.76,0
85726,5757,442,322,6,18.33,24,0.19,0
30492,20097,641,324,16,7.39,24,0.48,0
135668,11395,615,12,6,16.45,24,0.33,0
121279,17241,400,188,12,10.13,12,0.77,0
26102,39356,543,286,4,21.08,36,0.26,0
70336,28696,789,207,16,13.52,24,0.35,0
138015,5944,311,113,2,24.89,12,0.79,1
105314,47163,538,21,6,6.85,48,0.45,0
143007,20816,341,348,16,20.61,60,0.43,0
46641,38011,728,213,6,18.47,12,0.24,0
54584,25917,457,170,0,20.35,60,0.58,0
52745,32195,515,322,16,11.15,24,0.06,0
140542,22566,761,53,16,14.84,24,0.09,0
43093,10916,433,297,10,20.93,12,0.5,0
86105,21806,366,319,2,9.65,60,0.31,0
123746,10984,306,125,14,9.52,24,0.76,0
120199,2759,825,276,10,16.02,48,0.73,0
71885,42949,372,203,15,15.47,36,0.59,0
56631,27838,698,193,8,10.65,36,0.66,0
131217,3482,704,168,0,10.96,24,0.55,0
92991,25442,429,151,15,10.56,60,0.14,0
24014,34719,765,34,8,20.43,24,0.62,1
31093,28965,505,183,18,18.04,60,0.21,1
38070,3079,565,285,11,21.65,48,0.29,0
55777,3717,836,56,18,24.51,60,0.66,0
76958,28952,552,221,8,14.48,24,0.45,0
102074,21908,588,302,6,6.33,48,0.69,0
30729,43460,463,162,13,5.96,12,0.21,0
119713,25861,394,18,18,10.91,36,0.51,0
65017,8311,409,263,18,23.65,24,0.11,0
86320,29071,635,281,1,15.46,24,0.53,0
47751,24570,537,112,8,10.44,24,0.62,0
126400,19449,680,326,12,12.98,48,0.49,0
125864,34536,735,29,14,16.97,12,0.25,0
98069,39258,782,134,2,18.06,60,0.07,0
125647,49302,324,66,10,8.08,12,0.14,0
125510,29865,416,64,13,24.54,48,0.52,0
74748,7645,781,291,7,15.9,24,0.75,0
25801,39000,691,24,17,7.71,36,0.2,1
39190,27737,836,36,18,22.87,24,0.6,1
69689,12485,378,0,15,6.49,60,0.7,0
124290,39565,472,36,1,23.15,36,0.44,0
70993,26522,311,140,7,24.93,24,0.55,0
49592,13342,427,231,5,19.01,36,0.66,0
30647,41806,391,135,11,20.41,12,0.25,1
28716,49770,842,187,14,11.75,48,0.27,0
108891,14087,831,127,7,23.83,24,0.05,0
107545,38641,746,200,3,15.59,60,0.77,0
137638,35249,689,126,14,19.65,12,0.74,1
109912,11093,342,256,19,23.48,24,0.62,0
130627,48190,553,163,16,24.5,12,0.11,0
90316,17438,429,34,12,21.66,60,0.39,0
146995,41411,359,193,17,11.06,24,0.13,0
22368,27399,766,190,1,24.33,60,0.06,1
97575,20846,586,103,12,17.56,36,0.51,0
26655,16708,816,22,12,23.61,60,0.77,0
126477,45039,766,264,14,18.52,36,0.73,0
90031,46368,644,289,19,11.14,24,0.57,0
96429,11998,681,259,9,12.4,36,0.12,0
111083,48063,552,357,2,16.01,24,0.26,0
107922,31678,355,74,18,20.8,24,0.29,0
75766,11682,762,354,2,11.36,48,0.62,0
144046,9519,756,71,13,16.59,24,0.65,0
33403,32480,382,258,7,11.91,36,0.34,0
52097,20694,398,187,3,21.32,48,0.36,0
98657,4300,448,172,19,14.33,48,0.08,0
140607,7722,628,289,10,6.53,24,0.27,0
30966,40986,455,44,10,8.32,60,0.39,1
144862,25160,489,60,10,6.22,60,0.14,0
119157,21059,793,82,1,14.99,48,0.39,0
138834,36822,562,122,16,7.13,24,0.69,0
113848,14575,379,357,8,7.28,60,0.49,0
72921,8970,699,15,1,23.82,24,0.11,0
69726,35911,559,65,14,22.45,24,0.19,0
146141,22591,400,144,15,14.04,48,0.41,0
70300,32821,658,161,3,24.72,48,0.32,0
42677,10503,679,233,7,5.0,12,0.32,0
75609,48917,520,143,8,17.28,60,0.45,0
116825,19922,719,357,4,17.33,60,0.49,0
76661,13175,423,187,15,14.15,60,0.65,0
51024,42124,721,321,12,12.94,36,0.31,0
